date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,1.0,17,0,
2020-03-29,737513,1.0,19,0,19.0
2020-03-30,737514,16.0,8,0,13.5
2020-03-31,737515,18.0,10,0,12.333333333333334
2020-04-01,737516,11.0,13,0,12.5
2020-04-02,737517,14.0,8,0,11.6
2020-04-03,737518,14.0,11,0,11.5
2020-04-04,737519,2.0,11,0,11.428571428571429
2020-04-05,737520,1.0,14,0,10.714285714285714
2020-04-06,737521,3.0,6,0,10.428571428571429
2020-04-07,737522,3.0,22,0,12.142857142857142
2020-04-08,737523,16.0,13,0,12.142857142857142
2020-04-09,737524,5.0,9,0,12.285714285714286
2020-04-10,737525,4.0,11,0,12.285714285714286
2020-04-11,737526,0.0,11,0,12.285714285714286
2020-04-12,737527,0.0,15,0,12.428571428571429
2020-04-13,737528,15.0,5,0,12.285714285714286
2020-04-14,737529,13.0,8,0,10.285714285714286
2020-04-15,737530,14.0,8,0,9.571428571428571
2020-04-16,737531,17.0,7,0,9.285714285714286
2020-04-17,737532,15.0,9,0,9.0
2020-04-18,737533,17.0,5,0,8.142857142857142
2020-04-19,737534,16.0,5,0,6.714285714285714
2020-04-20,737535,17.0,2,0,6.285714285714286
2020-04-21,737536,33.0,8,0,6.285714285714286
2020-04-22,737537,44.0,6,0,6.0
2020-04-23,737538,26.0,2,0,5.285714285714286
2020-04-24,737539,23.0,2,0,4.285714285714286
2020-04-25,737540,6.0,0,0,3.5714285714285716
2020-04-26,737541,29.0,2,0,3.142857142857143
2020-04-27,737542,48.0,4,0,3.4285714285714284
2020-04-28,737543,44.0,6,0,3.142857142857143
2020-04-29,737544,38.0,4,0,2.857142857142857
2020-04-30,737545,12.0,0,0,2.5714285714285716
2020-05-01,737546,20.0,9,0,3.5714285714285716
2020-05-02,737547,27.0,1,0,3.7142857142857144
2020-05-03,737548,8.0,3,0,3.857142857142857
2020-05-04,737549,11.0,2,0,3.5714285714285716
2020-05-05,737550,3.0,1,0,2.857142857142857
2020-05-06,737551,12.0,1,0,2.4285714285714284
2020-05-07,737552,13.0,2,0,2.7142857142857144
2020-05-08,737553,8.0,3,0,1.8571428571428572
2020-05-09,737554,11.0,1,0,1.8571428571428572
2020-05-10,737555,10.0,1,0,1.5714285714285714
2020-05-11,737556,15.0,2,0,1.5714285714285714
2020-05-12,737557,7.0,2,0,1.7142857142857142
2020-05-13,737558,21.0,1,0,1.7142857142857142
2020-05-14,737559,12.0,5,0,2.142857142857143
2020-05-15,737560,5.0,1,0,1.8571428571428572
2020-05-16,737561,15.0,4,0,2.2857142857142856
2020-05-17,737562,9.0,4,0,2.7142857142857144
2020-05-18,737563,12.0,3,0,2.857142857142857
2020-05-19,737564,22.0,0,0,2.5714285714285716
2020-05-20,737565,14.0,3,0,2.857142857142857
2020-05-21,737566,10.0,0,0,2.142857142857143
2020-05-22,737567,23.0,2,0,2.2857142857142856
2020-05-23,737568,11.0,4,0,2.2857142857142856
2020-05-24,737569,19.0,0,0,1.7142857142857142
2020-05-25,737570,11.0,1,0,1.4285714285714286
2020-05-26,737571,20.0,2,0,1.7142857142857142
2020-05-27,737572,22.0,1,0,1.4285714285714286
2020-05-28,737573,22.0,13,0,3.2857142857142856
2020-05-29,737574,25.0,5,0,3.7142857142857144
2020-05-30,737575,20.0,3,0,3.5714285714285716
2020-05-31,737576,18.0,28,0,7.571428571428571
2020-06-01,737577,21.0,7,0,8.428571428571429
2020-06-02,737578,23.0,20,0,11.0
2020-06-03,737579,27.0,18,0,13.428571428571429
2020-06-04,737580,18.0,10,0,13.0
2020-06-05,737581,27.0,11,0,13.857142857142858
2020-06-06,737582,8.0,12,0,15.142857142857142
2020-06-07,737583,20.0,8,0,12.285714285714286
2020-06-08,737584,18.0,18,0,13.857142857142858
2020-06-09,737585,34.0,11,0,12.571428571428571
2020-06-10,737586,31.0,20,0,12.857142857142858
2020-06-11,737587,27.0,18,0,14.0
2020-06-12,737588,22.0,14,0,14.428571428571429
2020-06-13,737589,19.0,26,0,16.428571428571427
2020-06-14,737590,27.0,9,0,16.571428571428573
2020-06-15,737591,35.0,3,0,14.428571428571429
2020-06-16,737592,35.0,13,0,14.714285714285714
2020-06-17,737593,27.0,20,0,14.714285714285714
2020-06-18,737594,30.0,12,0,13.857142857142858
2020-06-19,737595,34.0,16,0,14.142857142857142
2020-06-20,737596,31.0,21,0,13.428571428571429
2020-06-21,737597,25.0,11,0,13.714285714285714
2020-06-22,737598,28.0,6,0,14.142857142857142
2020-06-23,737599,23.0,16,0,14.571428571428571
2020-06-24,737600,14.0,14,0,13.714285714285714
2020-06-25,737601,15.0,24,0,15.428571428571429
2020-06-26,737602,21.0,18,0,15.714285714285714
2020-06-27,737603,17.0,19,0,15.428571428571429
2020-06-28,737604,19.0,29,0,18.0
2020-06-29,737605,21.0,21,0,20.142857142857142
2020-06-30,737606,39.0,36,0,23.0
2020-07-01,737607,28.0,38,0,26.428571428571427
2020-07-02,737608,35.0,38,0,28.428571428571427
2020-07-03,737609,32.0,45,0,32.285714285714285
2020-07-04,737610,29.0,49,0,36.57142857142857
2020-07-05,737611,20.0,27,0,36.285714285714285
2020-07-06,737612,27.0,27,0,37.142857142857146
2020-07-07,737613,32.0,18,0,34.57142857142857
2020-07-08,737614,24.0,40,0,34.857142857142854
2020-07-09,737615,20.0,47,0,36.142857142857146
2020-07-10,737616,25.0,50,0,36.857142857142854
2020-07-11,737617,14.0,63,0,38.857142857142854
2020-07-12,737618,10.0,92,0,48.142857142857146
2020-07-13,737619,16.0,59,0,52.714285714285715
2020-07-14,737620,20.0,43,0,56.285714285714285
2020-07-15,737621,28.0,51,0,57.857142857142854
2020-07-16,737622,31.0,63,0,60.142857142857146
2020-07-17,737623,25.0,42,0,59.0
2020-07-18,737624,20.0,62,0,58.857142857142854
2020-07-19,737625,28.0,83,0,57.57142857142857
2020-07-20,737626,26.0,73,0,59.57142857142857
2020-07-21,737627,35.0,90,0,66.28571428571429
2020-07-22,737628,33.0,94,0,72.42857142857143
2020-07-23,737629,46.0,64,0,72.57142857142857
2020-07-24,737630,40.0,57,0,74.71428571428571
2020-07-25,737631,54.0,88,0,78.42857142857143
2020-07-26,737632,46.0,185,0,93.0
2020-07-27,737633,56.0,94,0,96.0
2020-07-28,737634,50.0,109,0,98.71428571428571
2020-07-29,737635,51.0,68,0,95.0
2020-07-30,737636,46.0,84,0,97.85714285714286
2020-07-31,737637,39.0,106,0,104.85714285714286
2020-08-01,737638,51.0,145,0,113.0
2020-08-02,737639,36.0,136,0,106.0
2020-08-03,737640,40.0,59,0,101.0
2020-08-04,737641,42.0,60,0,94.0
2020-08-05,737642,50.0,55,0,92.14285714285714
2020-08-06,737643,58.0,40,0,85.85714285714286
2020-08-07,737644,49.0,55,0,78.57142857142857
2020-08-08,737645,56.0,79,0,69.14285714285714
2020-08-09,737646,48.0,98,0,63.714285714285715
2020-08-10,737647,53.0,68,0,65.0
2020-08-11,737648,47.0,49,0,63.42857142857143
2020-08-12,737649,56.0,61,0,64.28571428571429
2020-08-13,737650,56.0,81,0,70.14285714285714
2020-08-14,737651,42.0,100,0,76.57142857142857
2020-08-15,737652,45.0,84,0,77.28571428571429
2020-08-16,737653,37.0,102,0,77.85714285714286
2020-08-17,737654,46.0,50,0,75.28571428571429
2020-08-18,737655,54.0,66,0,77.71428571428571
2020-08-19,737656,50.0,73,0,79.42857142857143
2020-08-20,737657,49.0,83,0,79.71428571428571
2020-08-21,737658,42.0,69,0,75.28571428571429
2020-08-22,737659,39.0,88,0,75.85714285714286
2020-08-23,737660,46.0,66,0,70.71428571428571
2020-08-24,737661,50.0,72,0,73.85714285714286
2020-08-25,737662,47.0,33,0,69.14285714285714
2020-08-26,737663,49.0,52,0,66.14285714285714
2020-08-27,737664,36.0,85,0,66.42857142857143
2020-08-28,737665,45.0,116,0,73.14285714285714
2020-08-29,737666,37.0,93,0,73.85714285714286
2020-08-30,737667,37.0,43,0,70.57142857142857
2020-08-31,737668,39.0,36,0,65.42857142857143
2020-09-01,737669,50.0,35,0,65.71428571428571
2020-09-02,737670,43.0,65,0,67.57142857142857
2020-09-03,737671,47.0,86,0,67.71428571428571
2020-09-04,737672,46.0,119,0,68.14285714285714
2020-09-05,737673,44.0,87,0,67.28571428571429
2020-09-06,737674,40.0,94,0,74.57142857142857
2020-09-07,737675,49.0,34,0,74.28571428571429
2020-09-08,737676,50.0,34,0,74.14285714285714
2020-09-09,737677,41.0,65,0,74.14285714285714
2020-09-10,737678,45.0,114,0,78.14285714285714
2020-09-11,737679,35.0,89,0,73.85714285714286
2020-09-12,737680,40.0,103,0,76.14285714285714
2020-09-13,737681,48.0,62,0,71.57142857142857
2020-09-14,737682,51.0,74,0,77.28571428571429
2020-09-15,737683,48.0,43,0,78.57142857142857
2020-09-16,737684,50.0,50,0,76.42857142857143
2020-09-17,737685,39.0,108,0,75.57142857142857
2020-09-18,737686,52.0,107,0,78.14285714285714
2020-09-19,737687,50.0,94,0,76.85714285714286
2020-09-20,737688,58.0,108,0,83.42857142857143
2020-09-21,737689,52.0,70,0,82.85714285714286
2020-09-22,737690,54.0,57,0,84.85714285714286
2020-09-23,737691,51.0,76,0,88.57142857142857
2020-09-24,737692,53.0,131,0,91.85714285714286
2020-09-25,737693,52.0,126,0,94.57142857142857
2020-09-26,737694,50.0,119,0,98.14285714285714
2020-09-27,737695,49.0,110,0,98.42857142857143
2020-09-28,737696,49.0,114,0,104.71428571428571
2020-09-29,737697,53.0,124,0,114.28571428571429
2020-09-30,737698,42.0,103,0,118.14285714285714
2020-10-01,737699,41.0,138,0,119.14285714285714
2020-10-02,737700,39.0,141,0,121.28571428571429
2020-10-03,737701,48.0,142,0,124.57142857142857
2020-10-04,737702,46.0,139,0,128.71428571428572
2020-10-05,737703,44.0,195,0,140.28571428571428
2020-10-06,737704,45.0,146,0,143.42857142857142
2020-10-07,737705,46.0,122,0,146.14285714285714
2020-10-08,737706,51.0,134,0,145.57142857142858
2020-10-09,737707,64.0,185,0,151.85714285714286
2020-10-10,737708,54.0,231,0,164.57142857142858
2020-10-11,737709,50.0,250,0,180.42857142857142
2020-10-12,737710,55.0,190,0,179.71428571428572
2020-10-13,737711,56.0,158,0,181.42857142857142
2020-10-14,737712,60.0,156,0,186.28571428571428
2020-10-15,737713,59.0,165,0,190.71428571428572
2020-10-16,737714,68.0,221,0,195.85714285714286
2020-10-17,737715,69.0,210,0,192.85714285714286
2020-10-18,737716,66.0,210,0,187.14285714285714
2020-10-19,737717,67.0,202,0,188.85714285714286
2020-10-20,737718,74.0,232,0,199.42857142857142
2020-10-21,737719,71.0,224,0,209.14285714285714
2020-10-22,737720,87.0,239,0,219.71428571428572
2020-10-23,737721,67.0,248,0,223.57142857142858
2020-10-24,737722,66.0,356,0,244.42857142857142
2020-10-25,737723,69.0,517,0,288.2857142857143
2020-10-26,737724,81.0,350,0,309.42857142857144
2020-10-27,737725,79.0,388,0,331.7142857142857
2020-10-28,737726,88.0,385,0,354.7142857142857
2020-10-29,737727,89.0,369,0,373.2857142857143
2020-10-30,737728,94.0,397,0,394.57142857142856
2020-10-31,737729,98.0,467,0,410.42857142857144
2020-11-01,737730,96.0,359,0,387.85714285714283
2020-11-02,737731,97.0,351,0,388.0
2020-11-03,737732,95.0,404,0,390.2857142857143
2020-11-04,737733,109.0,424,0,395.85714285714283
2020-11-05,737734,112.0,327,0,389.85714285714283
2020-11-06,737735,111.0,511,0,406.14285714285717
2020-11-07,737736,127.0,607,0,426.14285714285717
2020-11-08,737737,124.0,507,0,447.2857142857143
2020-11-09,737738,122.0,459,0,462.7142857142857
2020-11-10,737739,119.0,551,0,483.7142857142857
2020-11-11,737740,119.0,490,0,493.14285714285717
2020-11-12,737741,127.0,474,0,514.1428571428571
2020-11-13,737742,126.0,614,0,528.8571428571429
2020-11-14,737743,147.0,755,0,550.0
2020-11-15,737744,149.0,626,0,567.0
2020-11-16,737745,138.0,561,0,581.5714285714286
2020-11-17,737746,149.0,641,0,594.4285714285714
2020-11-18,737747,142.0,575,0,606.5714285714286
2020-11-19,737748,128.0,542,0,616.2857142857143
2020-11-20,737749,125.0,475,0,596.4285714285714
2020-11-21,737750,136.0,671,0,584.4285714285714
2020-11-22,737751,142.0,522,0,569.5714285714286
2020-11-23,737752,138.0,506,0,561.7142857142857
2020-11-24,737753,143.0,604,0,556.4285714285714
2020-11-25,737754,157.0,702,0,574.5714285714286
2020-11-26,737755,160.0,636,0,588.0
2020-11-27,737756,155.0,724,0,623.5714285714286
2020-11-28,737757,159.0,653,0,621.0
2020-11-29,737758,162.0,639,0,637.7142857142857
2020-11-30,737759,151.0,485,0,634.7142857142857
2020-12-01,737760,164.0,539,0,625.4285714285714
2020-12-02,737761,157.0,695,0,624.4285714285714
2020-12-03,737762,151.0,778,0,644.7142857142857
2020-12-04,737763,166.0,759,0,649.7142857142857
2020-12-05,737764,163.0,885,0,682.8571428571429
2020-12-06,737765,165.0,692,0,690.4285714285714
2020-12-07,737766,157.0,555,0,700.4285714285714
2020-12-08,737767,164.0,558,0,703.1428571428571
2020-12-09,737768,164.0,573,0,685.7142857142857
2020-12-10,737769,146.0,608,0,661.4285714285714
2020-12-11,737770,141.0,597,0,638.2857142857143
2020-12-12,737771,137.0,525,0,586.8571428571429
2020-12-13,737772,139.0,641,0,579.5714285714286
2020-12-14,737773,133.0,406,0,558.2857142857143
2020-12-15,737774,135.0,272,0,517.4285714285714
2020-12-16,737775,142.0,611,0,522.8571428571429
2020-12-17,737776,133.0,360,2,487.42857142857144
2020-12-18,737777,135.0,487,2,471.7142857142857
2020-12-19,737778,120.0,325,1607,443.14285714285717
2020-12-20,737779,121.0,180,4239,377.2857142857143
2020-12-21,737780,106.0,148,5125,340.42857142857144
2020-12-22,737781,99.0,437,5615,364.0
2020-12-23,737782,95.0,362,6822,328.42857142857144
2020-12-24,737783,94.0,271,8578,315.7142857142857
2020-12-25,737784,70.0,149,10612,267.42857142857144
2020-12-26,737785,73.0,188,11427,247.85714285714286
2020-12-27,737786,82.0,308,11427,266.14285714285717
2020-12-28,737787,80.0,124,11647,262.7142857142857
2020-12-29,737788,80.0,207,11780,229.85714285714286
2020-12-30,737789,80.0,366,12907,230.42857142857142
2020-12-31,737790,80.0,372,14550,244.85714285714286
2021-01-01,737791,78.0,470,16504,290.7142857142857
2021-01-02,737792,88.0,289,18401,305.14285714285717
2021-01-03,737793,98.0,168,18684,285.14285714285717
2021-01-04,737794,86.0,214,18937,298.0
2021-01-05,737795,92.0,209,19050,298.2857142857143
2021-01-06,737796,89.0,340,20106,294.57142857142856
2021-01-07,737797,86.0,337,21830,289.57142857142856
2021-01-08,737798,80.0,399,24562,279.42857142857144
2021-01-09,737799,76.0,374,28539,291.57142857142856
2021-01-10,737800,71.0,248,33263,303.0
2021-01-11,737801,66.0,175,35027,297.42857142857144
2021-01-12,737802,67.0,158,35838,290.14285714285717
2021-01-13,737803,78.0,294,38680,283.57142857142856
2021-01-14,737804,73.0,332,42596,282.85714285714283
2021-01-15,737805,64.0,291,49039,267.42857142857144
2021-01-16,737806,66.0,195,54193,241.85714285714286
2021-01-17,737807,57.0,258,60438,243.28571428571428
2021-01-18,737808,55.0,148,64730,239.42857142857142
